timestamp,snow,rain,maxwspd,precip,debris
datetime,int,int,float,float,int
T,,,,,
2011-01-03,0,0,23,0.00,3
2011-01-04,0,0,26,0.00,10
2011-01-05,1,0,21,0.00,11
2011-01-06,1,0,32,0.00,9
2011-01-07,1,0,29,0.00,20
2011-01-08,1,0,29,0.00,11
2011-01-09,0,0,11,0.00,2
2011-01-10,0,0,23,0.00,3
2011-01-11,1,0,29,2.29,9
2011-01-12,1,0,32,0.00,8
2011-01-13,1,0,19,0.00,18
2011-01-14,1,0,16,0.00,11
2011-01-15,1,0,29,0.00,9
2011-01-16,1,0,14,0.00,1
2011-01-17,1,1,26,2.79,1
2011-01-18,1,1,34,0.76,2
2011-01-19,1,0,23,0.00,7
2011-01-20,1,0,35,0.00,9
2011-01-21,0,0,27,0.00,3
2011-01-22,1,0,23,0.00,4
2011-01-23,1,0,23,0.00,2
2011-01-24,1,0,21,0.00,2
2011-01-25,0,0,13,0.00,3
2011-01-26,1,0,16,0.00,12
2011-01-27,1,0,23,0.51,12
2011-01-28,1,0,24,0.00,4
2011-01-29,1,0,26,0.00,3
2011-01-30,1,0,26,0.00,2
2011-01-31,1,0,32,0.51,1
2011-02-01,1,0,66,5.08,9
2011-02-02,1,0,52,2.29,4
2011-02-03,0,0,32,0.00,1
2011-02-04,0,0,26,0.00,1
2011-02-05,0,0,19,0.00,1
2011-02-06,1,0,14,2.54,1
2011-02-07,1,0,21,0.76,1
2011-02-08,1,0,32,0.00,1
2011-02-09,0,0,24,0.00,5
2011-02-10,0,0,26,0.00,1
2011-02-11,1,0,26,0.00,1
2011-02-12,0,0,24,0.00,1
2011-02-13,0,0,45,0.00,1
2011-02-14,0,0,39,0.00,1
2011-02-15,0,1,29,0.76,1
2011-02-16,0,0,21,0.00,7
2011-02-17,0,0,32,0.00,9
2011-02-18,0,0,37,0.00,11
2011-02-19,0,0,19,0.00,19
2011-02-20,0,1,27,22.86,3
2011-02-21,1,1,29,0.76,2
2011-02-22,1,0,21,0.00,14
2011-02-23,0,1,23,0.51,4
2011-02-24,1,0,39,0.00,11
2011-02-25,1,0,34,0.00,12
2011-02-26,1,0,16,1.27,8
2011-02-27,0,1,32,6.35,5
2011-02-28,1,1,29,1.02,3
2011-03-01,0,0,27,0.00,8
2011-03-02,0,0,24,0.00,14
2011-03-03,0,0,32,0.00,10
2011-03-04,0,1,27,15.49,20
2011-03-05,1,1,40,0.25,10
2011-03-06,0,0,27,0.00,4
2011-03-07,0,0,19,0.00,1
2011-03-08,0,1,27,0.25,6
2011-03-09,1,1,24,9.65,13
2011-03-10,1,0,27,0.25,21
2011-03-11,0,0,23,0.00,12
2011-03-12,0,0,37,0.00,21
2011-03-13,0,0,16,0.00,4
2011-03-14,0,0,21,0.00,5
2011-03-15,0,1,19,0.00,24
2011-03-16,0,0,23,0.00,19
2011-03-17,0,0,34,0.00,27
2011-03-18,0,0,16,0.00,21
2011-03-19,0,0,19,0.00,26
2011-03-20,0,1,27,7.37,13
2011-03-21,0,0,27,0.00,5
2011-03-22,0,1,37,4.83,47
2011-03-23,1,1,35,3.30,47
2011-03-24,1,0,32,0.00,36
2011-03-25,1,0,24,0.00,27
2011-03-26,1,0,29,0.00,19
2011-03-27,0,0,27,0.00,6
2011-03-28,0,0,23,0.00,9
2011-03-29,0,0,19,0.00,49
2011-03-30,0,0,19,0.00,32
2011-03-31,0,0,19,0.00,40
2011-04-01,1,1,23,3.81,32
2011-04-02,0,0,32,0.00,27
2011-04-03,0,1,37,0.51,14
2011-04-04,0,1,48,3.56,10
2011-04-05,0,0,34,0.00,38
2011-04-06,0,0,23,0.00,53
2011-04-07,0,1,26,8.64,48
2011-04-08,0,1,27,12.95,46
2011-04-09,0,0,21,0.00,25
2011-04-10,0,0,39,0.00,19
2011-04-11,0,1,34,2.03,16
2011-04-12,0,0,26,0.00,72
2011-04-13,0,0,19,0.00,51
2011-04-14,0,0,39,0.00,60
2011-04-15,0,1,45,4.32,47
2011-04-16,1,1,40,3.30,48
2011-04-17,0,1,37,0.00,15
2011-04-18,1,1,37,10.67,13
2011-04-19,0,1,39,18.54,46
2011-04-20,0,0,27,0.25,39
2011-04-21,0,1,27,0.00,46
2011-04-22,0,1,35,17.53,53
2011-04-23,0,0,39,0.00,10
2011-04-24,0,1,16,0.00,15
2011-04-25,0,1,29,6.60,5
2011-04-26,0,1,40,15.24,62
2011-04-27,0,1,27,6.60,50
2011-04-28,0,1,40,1.02,44
2011-04-29,0,0,24,0.00,44
2011-04-30,0,0,47,0.00,53
2011-05-01,0,0,39,0.00,19
2011-05-02,0,0,24,0.00,11
2011-05-03,0,0,23,0.00,73
2011-05-04,0,0,27,0.00,56
2011-05-05,0,1,29,2.54,50
2011-05-06,0,0,32,0.00,54
2011-05-07,0,0,27,0.00,88
2011-05-08,0,0,23,0.00,22
2011-05-09,0,0,35,0.00,11
2011-05-10,0,0,24,0.00,79
2011-05-11,0,1,52,7.11,108
2011-05-12,0,0,21,0.51,66
2011-05-13,0,0,37,0.25,90
2011-05-14,0,1,37,9.40,53
2011-05-15,0,1,42,7.62,26
2011-05-16,0,0,37,0.00,9
2011-05-17,0,0,35,0.00,73
2011-05-18,0,1,21,0.76,84
2011-05-19,0,0,16,0.00,57
2011-05-20,0,0,21,0.00,54
2011-05-21,0,0,26,0.00,58
2011-05-22,0,1,40,3.05,29
2011-05-23,0,1,39,0.00,16
2011-05-24,0,0,29,0.00,94
2011-05-25,0,1,37,39.88,75
2011-05-26,0,1,42,18.03,66
2011-05-27,0,1,23,0.25,67
2011-05-28,0,1,23,5.84,50
2011-05-29,0,1,27,21.34,14
2011-05-30,0,0,29,0.00,4
2011-05-31,0,1,34,0.00,26
2011-06-01,0,0,37,0.00,104
2011-06-02,0,1,29,0.00,94
2011-06-03,0,1,29,4.57,72
2011-06-04,0,1,50,12.70,66
2011-06-05,0,0,16,0.25,31
2011-06-06,0,0,27,0.00,22
2011-06-07,0,0,29,0.00,80
2011-06-08,0,1,48,6.35,69
2011-06-09,0,1,34,66.29,78
2011-06-10,0,1,23,11.18,97
2011-06-11,0,1,19,2.54,84
2011-06-12,0,0,27,0.00,35
2011-06-13,0,0,23,0.00,27
2011-06-14,0,0,24,0.00,123
2011-06-15,0,1,32,21.34,153
2011-06-16,0,1,29,0.76,104
2011-06-17,0,0,23,0.00,95
2011-06-18,0,0,23,0.00,71
2011-06-19,0,0,13,0.00,86
2011-06-20,0,1,27,31.24,22
2011-06-21,0,1,45,2.03,105
2011-06-22,0,0,34,0.51,115
2011-06-23,0,1,32,1.27,434
2011-06-24,0,0,21,0.00,228
2011-06-25,0,1,16,0.00,258
2011-06-26,0,0,24,0.00,76
2011-06-27,0,1,29,3.56,38
2011-06-28,0,0,23,0.00,173
